mean_h,mean_s,mean_v,label
34.32875061035156,159.33193969726562,116.91952514648438,mentah
61.66363525390625,138.85946655273438,127.98220825195312,mentah
47.14288330078125,126.64115905761719,136.20645141601562,mentah
46.68553161621094,132.3524169921875,128.12744140625,mentah
27.641921997070312,163.6944122314453,122.99310302734375,mentah
45.37382507324219,180.6748046875,149.6216278076172,mentah
44.474029541015625,142.76280212402344,43.08341979980469,mentah
29.232437133789062,174.17332458496094,137.05250549316406,mentah
41.74241638183594,199.98733520507812,112.37106323242188,mentah
43.4312744140625,176.8240203857422,142.0657196044922,mentah
33.18919146357883,197.2771475696782,134.24262824828327,mentah
39.944061279296875,125.52276611328125,136.2195587158203,mentah
34.763427734375,169.96109008789062,131.4432830810547,mentah
33.55567932128906,155.92356872558594,126.35295104980469,mentah
34.7218017578125,162.75730895996094,117.01518249511719,mentah
32.201837832837384,202.67349172821042,112.53898456652122,mentah
37.83833312988281,158.11636352539062,140.3112335205078,mentah
39.581181754820726,185.64468365213352,168.48684271664214,mentah
39.1875,159.4831085205078,151.90701293945312,mentah
47.661224365234375,120.25148010253906,161.6602783203125,mentah
33.57563781738281,180.08343505859375,90.54507446289062,mentah
39.45794677734375,219.30380249023438,126.0958251953125,mentah
39.67958068847656,185.5091552734375,135.78553771972656,mentah
41.10919189453125,187.6307373046875,144.24563598632812,mentah
38.00335693359375,214.86447143554688,164.46493530273438,mentah
41.6963582601768,158.34968056257756,136.81101867598167,mentah
43.001861572265625,114.17933654785156,126.99720764160156,mentah
43.45381357904044,131.18451300665458,155.98855228256318,mentah
35.82508639407933,171.4462674699532,139.66540261170064,mentah
37.49189758300781,208.6667938232422,138.8954315185547,mentah
44.8037109375,178.95542907714844,179.63465881347656,mentah
55.2808837890625,132.60458374023438,100.02516174316406,mentah
41.596221923828125,124.59146118164062,133.08816528320312,mentah
39.50127763751817,195.56535842705227,179.4934894040242,mentah
37.77425038639876,171.8838485316847,130.81508500772796,mentah
51.05494689941406,129.54617309570312,84.24090576171875,mentah
31.714920043945312,167.8547821044922,148.3931121826172,mentah
49.837267995986956,133.94513418610484,119.2290726109857,mentah
39.28108215332031,180.80592346191406,142.34231567382812,mentah
39.02093505859375,131.14883422851562,147.71099853515625,mentah
35.40275573730469,147.54391479492188,110.793701171875,mentah
36.07170468609146,131.42570551116134,156.13039160262187,mentah
38.2874755859375,144.4302978515625,148.06158447265625,mentah
48.0953369140625,87.73385620117188,154.50704956054688,mentah
28.795204795204793,128.92158688768856,175.78963409471882,mentah
36.98408297077027,173.38177890802132,144.7227005331209,mentah
42.72766224425776,141.336363219024,130.9034721265819,mentah
38.54759216308594,199.9225616455078,124.00997924804688,mentah
66.20939636230469,97.146484375,136.78060913085938,mentah
45.12358093261719,160.85836791992188,149.21812438964844,mentah
28.460067749023438,143.1310272216797,153.59329223632812,mentah
43.515838623046875,115.90525817871094,99.52880859375,mentah
39.41719055175781,155.78848266601562,139.18577575683594,mentah
28.941178653603505,145.2468640985675,203.34127514287835,matang
66.16347756517101,157.9317732293264,207.1650110007334,matang
104.49729595015577,173.1583800623053,172.46783800623055,matang
60.39360861759425,147.1137881508079,217.73461400359065,matang
97.35128231068846,164.78767261874654,218.42586878446053,matang
95.99447091143026,138.7175991932399,181.01749139339984,matang
65.78783133362504,139.32593326117495,188.13720839186607,matang
58.8451250535224,164.42447673979296,188.17731657557363,matang
89.86807896003852,148.38171313520377,179.05326738740317,matang
48.52782645947735,141.67909023639834,223.75359270942866,matang
77.17116360722055,152.21745601648666,209.9553867877724,matang
89.99074030105893,165.91799230732704,202.24863478797664,matang
58.18073155768051,133.25289301656477,198.21796526264572,matang
40.90411012020163,162.4088406359054,190.91934858472274,matang
41.82647914387126,59.39633316431374,215.5926983533933,matang
20.83031203566122,123.54115898959881,200.33650321941556,matang
107.82883748873536,162.45040552718535,169.64157404626013,matang
96.44536781570987,161.68164744207692,208.75836851377855,matang
74.24633596392334,160.85379727375218,190.46853541047454,matang
38.73087071240105,155.69938582293074,189.67546174142478,matang
127.15606221279604,155.05105287077717,218.47505428470436,matang
89.27578912576433,160.33872087258302,210.69823169724012,matang
133.12762145332786,176.86001292369147,190.3196851318804,matang
93.84293048973143,137.86544233807265,214.1109399684044,matang
60.10293646342441,143.404935501963,208.71979408701227,matang
65.58910804064269,144.30731638716028,204.00481665084553,matang
27.248308856252784,165.380551846907,216.45912327547842,matang
91.74624840753793,129.38640988732814,202.6583114111282,matang
124.50710422812193,148.56789577187809,221.9405358898722,matang
